#,البيت,الشاعر,القصيدة,التعبير البلاغي,العنصر البلاغي المستعمل,العنصر البلاغي الثانوي
3597,46,الطرماح بن حكيم,قصيدة رقم 8، كامل، دُ,صُعْرُ السَّوَالِفِ بالجِرَاءِ،كَأَنَّهَا خَلْفَ الطَّرائِدِ خَشْرَمٌ مُتَبَدِّدُ,تشبيه,تشبيه
3598,44,الطرماح بن حكيم,قصيدة رقم 8، كامل، دُ,وكَأَنَّ قِهْزَةَ تَاجِرٍ جِيبَتْ لَهُ لِفُضُولِ أَسْفَلِها كِفَـ[ـافٌ أَسْوَدُ],تشبيه,تشبيه
3599,43,الطرماح بن حكيم,قصيدة رقم 8، كامل، دُ,يَبْدُو، وتُضْمِرُهُ البِلَادُ،كَأَنَّهُ سَيْفٌ عَلَى شَرَفٍ يُسَلُّ ويُغْمَدُ,تشبيه,تشبيه
3600,41,الطرماح بن حكيم,قصيدة رقم 8، كامل، دُ,حَتَّى إِذَا هُوَ آلَ، واطَّرَدَتْ لَهُ شُعَبٌكَأَنَّ وُحِيَّهُنَّ المُسْنَدُ,تشبيه,تشبيه
3601,39,الطرماح بن حكيم,قصيدة رقم 8، كامل، دُ,يَقَقُ السَّرَاةِ،كَأَنَّ في سَفِلَاتِهِ أَثَرَ النَّؤُورِ جَرَى عَلَيْهِ الإِثْمِدُ,تشبيه,تشبيه
3602,38,الطرماح بن حكيم,قصيدة رقم 8، كامل، دُ,ضَاحِي المَرَاعِي والطَّياتِ،كَأَنَّهُ بَلَقٌ تَعَاوَرَهُ البُنَاةُ مُمَدَّدُ,تشبيه,تشبيه
3603,37,الطرماح بن حكيم,قصيدة رقم 8، كامل، دُ,كَمُخَفِّقِ الحَشْيَيْن بَاتَ تَلُفُّهُ وَطْفَاءُ سَارِيَةٌ، وهِفٌّ مُبْرِدُ,تشبيه,تشبيه
3604,35,الطرماح بن حكيم,قصيدة رقم 8، كامل، دُ,يَدْعُو العِرَارُ بِهَا الزِّمَارَ،كَما اشْتَكَى أَلِمٌ تُجَاوِبُهُ النِّسَاءُ العُوَّدُ,تشبيه,تشبيه
3605,34,الطرماح بن حكيم,قصيدة رقم 8، كامل، دُ,والقَيْضَ أَجْنُبُهُ،كَأَنَّ حُطَامَهُ فِلَقُ الحَوَاجِلِ شَافَهُنَّ المُوقِدُ,تشبيه,تشبيه
3606,33,الطرماح بن حكيم,قصيدة رقم 8، كامل، دُ,حَبَسَتْ مَنَاكِبُها السَّفَى،فَكَأَنَّهُ رُفَةٌ بِنَاحِيَةِ المَدَاوسِ مُسْنَدُ,تشبيه,تشبيه
3607,30,الطرماح بن حكيم,قصيدة رقم 8، كامل، دُ,يُمْسي بِعَقْوَتِها الهِجَفُّكَأَنَّهُ حَبَشيُّ حَازِقَةٍ غَدَا يَتَهَبَّدُ,تشبيه,تشبيه
3608,1,الفرزدق,قصيدة رقم 86، الطويل، تِ,مَهَارِيسُ أشْبَاهٌكَأنّ رُؤوسَهَا مَقابِرُ عَادٍ، جِلّةُ البَكَرَاتِ,تشبيه,تشبيه
3609,28,الطرماح بن حكيم,قصيدة رقم 8، كامل، دُ,في تِيهِ مَهْمَهَةٍكَأَنَّ صُوِيَّها أيْدِي مُخَالِعَةٍ تَكُفُّ وتَنْهَدُ,تشبيه,تشبيه
3610,14,عمر بن أبي ربيعة,قصيدة رقم 217، منتهى الطلب، كامل، را,مَحْطُوطَةِ المتْنَيْنِ أُكْمِلَ خَلْقُهامِثلُ السَّبِيكَةِ بَضَّةً مِعْطارا,تشبيه,تشبيه
3611,18,عمر بن أبي ربيعة,قصيدة رقم 217، منتهى الطلب، كامل، را,وكأنَّ نُطْفَةَ بارِقٍ وطَبَرْزَدًا ومُدامَةً قَدْ عُتِّقَتْ أعْصارا,تشبيه,تشبيه
3612,17,عمر بن أبي ربيعة,قصيدة رقم 217، منتهى الطلب، كامل، را,والذَّوْبَ مِن عَسَلِ السَّراةِكأنَّما غَصَبَ الأمِيرُ بِبَيْعِها المُشْتارا,تشبيه,تشبيه
3613,49,الطرماح بن حكيم,قصيدة رقم 8، كامل، دُ,تَتْرَى، ويَخْصِفُهَا بِحَرْفَيْ رَوْقِهِ شَزْرًا،كَمَا اخْتَصَفَ النِّقَالَ المِسْرَدُ,تشبيه,تشبيه
3614,21,جرير بن عطيّة,قصيدة رقم 238، منتهى الطلب، طويل، رُها,كأنَّ سَلِيطًا في جواشِنِها الخصَى إذا حَلَّ بَيْنَ الأمْلَحَيْنِ وقِيرُها,تشبيه,تشبيه
3615,20,جرير بن عطيّة,قصيدة رقم 238، منتهى الطلب، طويل، رُها,أُناسًايَخالُونَ العَباءَةَ فِيهمِ قَطِيفَةَ مِرْعِزَّى يُقَلَّبُ نِيرُها,تشبيه,تشبيه
3616,28,جرير بن عطيّة,قصيدة رقم 238، منتهى الطلب، طويل، رُها,كأنَّ السَّلِيطِيّينَ أنقاضُ كَمْأةٍ لأوَّلِ جانٍ بالعَصَى يَسْتَثِيرُها,تشبيه,تشبيه
3617,26,الطرماح بن حكيم,قصيدة رقم 8، كامل، دُ,يُوفِي عَلَى جِذْمِ الجُذُولِ،كَأَنَّهُ خَصْمٌ أَبَرَّ عَلَى الخُصُومِ يَلَنْدَدُ,تشبيه,تشبيه
3618,56,نقائض جرير والفرزدق,جرير، نقيضة رقم 33، الطَّويل، لِ,بَلَغْتَ نَسِيءَ العَنْبَرِيِّكَأَنَّما تَرَى بنَسِيءِ العَنْبَرِيِّ جَنَى النَّحْلِ,تشبيه,تشبيه
3619,22,الطرماح بن حكيم,قصيدة رقم 8، كامل، دُ,حَرَجٍكَمِجْدَلِ هَاجِرِيٍّ لَزَّهُ بِذَوَاتِ طَبْخِ أَطِيمَةٍ لَا تَخْمُدُ,تشبيه,تشبيه
3620,21,الطرماح بن حكيم,قصيدة رقم 8، كامل، دُ,فُتْلٍ مَرَافِقُها،كَأَنَّ خَلِيفَها مَكْوٌ، أَبَنَّ بِهِ سِبَاعٌ، مُلْحَدُ,تشبيه,تشبيه
3621,16,الطرماح بن حكيم,قصيدة رقم 8، كامل، دُ,قَرَّبْنَ كُلَّ نَجِيبَةٍ وعُذافِرٍكالوَقْفِ صَفَّرَهُ خَطِيرٌ مُلْبِدُ,تشبيه,تشبيه
3622,64,نقائض جرير والفرزدق,جرير، نقيضة رقم 33، الطَّويل، لِ,يَفيشُ ابْنُ حَمْراءِ العِجانِكَأَنَّهُ خَصيُّ براذينِ تقاعَسَ في وَحْلِ,تشبيه,تشبيه
3623,61,نقائض جرير والفرزدق,جرير، نقيضة رقم 33، الطَّويل، لِ,فأَقْسَمْتُ ما لاقَيْتِ قَبْلِي مِنَ الهَوَى وأَقْسَمْتِ ما لَاقَيْتِ مِنْ ذَكَرٍمِثْلِي,تشبيه,تشبيه
3624,4,الأخطل,قصيدة رقم 28، رُ، الوافر,كَأَنَّ المَشرَفِيَّةَ في ذُراهُ وَنيرانَ الحَجيجِ لَها سَعيرُ,تشبيه,تشبيه
3625,4,كثيّر بن عبد الرحمن الخزاعي,قصيدة رقم 209، منتهى الطلب، طويل، حُ,أتيٌّ ومَفعُومٌ حَثِيثٌكأنَّهُ غُروبُ السَّواني أتْرَعَتها النَّواضِحُ,تشبيه,تشبيه
3626,15,عبد الله بن عمر العرجي,قصيدة رقم (7)،الخفيف،بِ.,بِمُنِيفٍكأنَّهُ رُكْنُ طَوْدٍ ذي أَوَاسٍ مُطَمَّرِ المِحْرَابِ,تشبيه,تشبيه
3627,5,جميل بن معمر,قصيدة رقم 110، منتهى الطلب، طويل، فُ,فَلَيسَ بها إلّا ثَلاثٌكأنَّها حَمائِمُ سُفْعٌ حَولَ أوْرَقَ عُكَّفُ,تشبيه,تشبيه
3628,1,الكميت بن زيد الأسدي,قصيدة رقم 488، طويل، لُ,لَقَدْ جَمَعَتْ بَيْنِي وبَيْنَكَ نِسْوَةٌ عَقائِلُ ما إِنْمِثْلَهُنَّ عَقائِلُ,تشبيه,تشبيه
3629,2,عبد الله بن الزبير,قصيدة رقم 54، طويل، ما,ورُدَّ بثَنْيَيْهِكأنَّ نجومَهُ صُوارٌ تناهَى من ارانٍ فقَوَّمَا,تشبيه,تشبيه
3630,1,عبد الله بن الزبير,قصيدة رقم 54، طويل، ما,أبَى الليلُ بالمَرَّانِ أن يَتصَرَّماكأني أسومُ العَينَ نوما مُحَرَّما,تشبيه,تشبيه
3631,1,الكميت بن زيد الأسدي,قصيدة رقم 662، كامل، مِها,فَكَأَنَّما بُدِئَتْ ظَواهِرُ جِلْدِهِ مِمَّا يُصافِحُ مِنْ لَهِيْبِ سهامِها,تشبيه,تشبيه
3632,12,عمران بن حطان,قصيدة رقم 199، منسرح، قُها,وأيقنت أنها تعودُكما كان براها بالأَمسِ خالقها,تشبيه,تشبيه
3633,9,الفرزدق,قصيدة رقم 274، منتهى الطلب، طويل، يا,أرانِي إذا فارَقْتُ هِنْدًاكأنَّنِي دَوا سَنَةٍ مِمّا أجَنَّ فُؤُادِيا,تشبيه,تشبيه
3634,6,أبو وجزة السعديّ,القصيدة رقم 33، الطويل، عُ,عيونٌ تراقتْ بالرعافكأنَّها من السَّوْق صِرْدانٌ تَدِفّ وتلمعُ,تشبيه,تشبيه
3635,36,جرير بن عطيّة,قصيدة رقم 13، جرير، البسيط، رِي,لاتحسبَنّ مِرَاسَ الحرب إِذ خطرت أَكْلَ القُباب وأَدْمَ الرُّغْفِ بالصير,تشبيه,تشبيه
3636,4,الفرزدق,قصيدة رقم 274، منتهى الطلب، طويل، يا,قَعِيدَكَما اللهَ الذي أنْتُما لَهُ ألَمْ تَسْمَعا بالبَيْضَتَيْنِ المُناديا,تشبيه,تشبيه
3637,26,جرير بن عطيّة,قصيدة رقم 13، جرير، البسيط، رِي,كأَن لونًا به من زيت سامرة أَو لونَ وَرْدٍ من الحِنَّاءِ معصور,تشبيه,تشبيه
3638,18,جرير بن عطيّة,قصيدة رقم 13، جرير، البسيط، رِي,خُوصَ العيون إِذا استقبلن هاجرةيُحْسَبْنَ عُورًا وما فيهن من غور,تشبيه,تشبيه
3639,10,جرير بن عطيّة,قصيدة رقم 13، جرير، البسيط، رِي,تبيت ليلكَ ذا وجد تخامرهكأَنَّ في القلب أَطراف المسامير,تشبيه,تشبيه
3640,3,عمر بن أبي ربيعة,قصيدة رقم 18، الخفيف، بِ,إنْ وجدي بقربِكمْ أمَّ عمروٍمثلُ وجدِ الصّدي ببردِ الشّرابِ,تشبيه,تشبيه
3641,3,سُراقة البارقي,قصيدة رقم 18، الوافر، لُ,وإِبْرَاهِيمُ مُعْتَزٌّ هِزَبْرٌ لَهُ فِئَةٌ تَقُولُكَمَا يَقُولُ,تشبيه,تشبيه
3642,5,سُراقة البارقي,قصيدة رقم 18، الوافر، لُ,حَمَى الضِّيفَانَ إِذ جَالَتْ نِزَارٌكَمَا جَالَتْ مِنَ البَقَرِ الوُعُولُ,تشبيه,تشبيه
3643,7,نقائض جرير والفرزدق,الفرزدق، نقيضة رقم 113، المتقارب، رِها,كَسَعْتُ كُلَيْبًا فما أَنْكَرَتْكَكَسْعِ المَخاضِ بِأَغْبارِها,تشبيه,تشبيه
3644,3,نقائض جرير والفرزدق,الفرزدق، نقيضة رقم 113، المتقارب، رِها,قُبَيِّلَةٌكَأَديمِ الكُراعِ تَعْجِزُ عَنْ نَقْضِ أَمْرارِها,تشبيه,تشبيه
3645,11,الرّاعي النُّمَيْريّ,قصيدة رقم 3، الكامل، بِ,وكَأنَّهُنَّ قَطًا يُصَفِّقُهُ خُرُقُ الرِّيَاحِ بِنَفْنَفٍ رَحْبِ,تشبيه,تشبيه
3646,14,الرّاعي النُّمَيْريّ,قصيدة رقم 3، الكامل، بِ,حَتّى أُنِخْنَ إِلَى ابْنِ أَكْرَمِهِمْ حَسَبًا وَهُنَّكَمُنْجِزِ النَّحْبِ,تشبيه,تشبيه
3647,3,الطرماح بن حكيم,قصيدة رقم 7، طويل، حِ,كَأَنَّ الدُّجَى، دُونَ البِلَادِ، مُوَكَّلٌ بِبَمّ، بِجَنْبَيْ كُلِّ عُلْوٍ ومِرْزَحِ,تشبيه,تشبيه
3648,11,قيس بن ذريح,قصيدة رقم 10، طويل، تُ,فَوَطِّنْ لِهُلْكِي مِنْكَ نَفْسًا فإِنَّنِيكَأَنَّكَ بِي قَدْ، يا ذَرِيحُ، قَضَيْتُ,تشبيه,تشبيه
3649,7,نقائض جرير والفرزدق,الفرزدق، نقيضة رقم 94، الكامل، انِ,وكَأَنَّ راياتِ الهُذَيْلِ إِذا بَدَتْ فَوْقَ الخَميسِ كَواسِرُ العِقْبانِ,تشبيه,تشبيه
3650,5,نقائض جرير والفرزدق,الفرزدق، نقيضة رقم 94، الكامل، انِ,يَصْهَلْنَ بالنَّظَرِ البَعيدِكَأَنَّما إِرْنانُها بِبَوائِنِ الأَشْطانِ,تشبيه,تشبيه
3651,100,نقائض جرير والفرزدق,جرير، نقيضة رقم 104، الطَويل، رَا,نُعَدُّ لِأَيّامٍ تُعَدُّلِمِثْلِها فَوارِسُ قَيْسٍ دارِعينَ وحُسَّرا,تشبيه,تشبيه
3652,1,حميد الأرقط,قصيدة رقم 9، رجز، ورْ,كَأَنَّ دَمْعِي وَالْفِرَاقُ مَحْذُورْ,تشبيه,تشبيه
3653,90,الكميت بن زيد الأسدي,قصيدة هاشمية رقم 3، منسرح، بُ,أَنْتُمْ من الحَرْبِ فيكَرائِمِها بِحيثُ يُلْفَى من الرَّحَى القُطُبُ,تشبيه,تشبيه
3654,85,الكميت بن زيد الأسدي,قصيدة هاشمية رقم 3، منسرح، بُ,فازُوا بِهِ لا مُشارَكِيْنَكَما أَحْرَزَ صَفْوَ النِّهابِ مُنْتَهِبُ,تشبيه,تشبيه
3655,79,الكميت بن زيد الأسدي,قصيدة هاشمية رقم 3، منسرح، بُ,ولَمْ يُقَلْ بَعْدَ زَلَّةٍ لَهُمُ كُرُّوا المَعاذِيْرَ إنَّماحَسِبُوا,تشبيه,تشبيه
3656,4,الفرزدق,قصيدة رقم 226، البسيط، رُ,إذًا تَدَهْدَأ عَنْهُ حِينَ أضْرِبُهُ،كَما تَدَهدَى عَنِ الزحْلوفةِ الحَجرُ,تشبيه,تشبيه
3657,8,جرير بن عطيّة,قصيدة رقم 16، جرير، البسيط، فُ,كأَنه بعد تَحْنان الرياح به رَقٌّ تَبَيَّنُ فيه اللامُ والأَلف,تشبيه,تشبيه
3658,42,الكميت بن زيد الأسدي,قصيدة هاشمية رقم 3، منسرح، بُ,يَنْشَقُّ عن حَدِّها الأتِيُّكَما شُقَّتْ مَآلِي المَآتِمِ القُشُبُ,تشبيه,تشبيه
3659,11,ذو الرمة,قصيدة رقم 2، الطويل، لِ.,أَناةٌ،كأَنَّ المِرْطَ حين تَلوثُهُ على دِعْصَةٍ غَرّاءَ من عُجَمِ الرَّمْلِ,تشبيه,تشبيه
3660,30,الكميت بن زيد الأسدي,قصيدة هاشمية رقم 3، منسرح، بُ,مُنْطَوِياتٍكما انْطَوَيْتُ وقَدْ يُقْبَضُ بعد انبِساطِه السَّبَبُ,تشبيه,تشبيه
3661,29,الكميت بن زيد الأسدي,قصيدة هاشمية رقم 3، منسرح، بُ,يَحْسُبْنَ لي في السِّنينِ خَمسينَ تَكْـ ـبِيْرِي والأرْبَعِيْنَأَحْتَسِبُ,تشبيه,تشبيه
3662,36,ذو الرمة,قصيدة رقم 2، الطويل، لِ.,ولكنْ عَداني أَنْ أَكونَ أَتَيْتُهُ عَقابيلُ أَوْصابٍيُشَبَّهْنَ بالخَبْلِ,تشبيه,تشبيه
3663,8,الرّاعي النُّمَيْريّ,قصيدة رقم 41، البسيط، عُ,وَلِلْمَنِيَّةِ أَسْبَابٌ تُقَرِّبُهَاكَمَا تَقَرَّبَ لِلْوَحْشِيَّةِ الذُّرُعُ,تشبيه,تشبيه
3664,11,الكميت بن زيد الأسدي,قصيدة هاشمية رقم 3، منسرح، بُ,قَلَّدَهُكالوِشاحِ جالَ على الـ ـكاعِبِ مِن مُنْهِجاتِه الطُّنُبُ,تشبيه,تشبيه
3665,1,الرّاعي النُّمَيْريّ,قصيدة رقم 41، البسيط، عُ,عَادَ الْهُمُومُ وَمَا يَدْرِي الْخَلِيُّ بِهَا وَاسْتَوْرَدَتْنِيكَمَا يُسْتَوْرَدُ الشَّرَعُ,تشبيه,تشبيه
3666,27,ذو الرمة,قصيدة رقم 2، الطويل، لِ.,تَمادَتْ على رَغْمِ المَهارى وأَبْرَقَتْ بأَقْطاعٍمِثْلِ الوَرْسِ في واحِفٍ جَثْلِ,تشبيه,تشبيه
3667,26,ذو الرمة,قصيدة رقم 2، الطويل، لِ.,شَريجٍ كحُمّاضِ الثَّماني عَمَتْ بهِ على راجفِ اللَّحيَيْنِكالمِعْوَلِ النَّصْلِ,تشبيه,تشبيه
3668,22,ذو الرمة,قصيدة رقم 2، الطويل، لِ.,ورَمْلٍ عزيفُ الجِنِّ في عَقِداتِهِ هَزيزٌكتَضْرابِ المُغنّينَ بالطَّبْلِ,تشبيه,تشبيه
3669,69,الكميت بن زيد الأسدي,قصيدة هاشمية رقم 2، طويل، بُ,حَنانَيْكَ رَبَّ النَّاسِ من أنْ يَغُرَّنيكما غَرَّهم شُربُ الحَياةِ المُنَضَّبُ,تشبيه,تشبيه
3670,1,الكميت بن زيد الأسدي,قصيدة رقم 387، طويل، سا,تُصافِحَ زيتونَ الهَنِّيكأنَّما تُصافِحُ أُلَّافَ الأَوانِسا,تشبيه,تشبيه
3671,3,عمر بن أبي ربيعة,قصيدة رقم 386، الكامل، نُهُ,قالتْ لأترابٍ لهاشبهِ الدّمى قدْ غابَ عنْ عُمَرَ الغداةَ بيانُهُ,تشبيه,تشبيه
3672,7,عبد الله بن عمر العرجي,قصيدة رقم (3)، البسيط، بَ.,قَدْ كُنْتُأَحْسَبُ وَجْدِي يا قَرِيبُ لَكُمْ حَتَّى أتَحْتِ لنا بالخَيْفِ قَدْ ذَهَبَا,تشبيه,تشبيه
3673,6,الفرزدق,قصيدة رقم 188، البسيط، رِ,إذا السّمَاءُ غَدَتْ أرْوَاحُ قِطْقِطِهاكَأنّهُ كُرْسُفٌ يُرْمَى بِأوْتَارِ,تشبيه,تشبيه
3674,2,الفرزدق,قصيدة رقم 188، البسيط، رِ,إلى الّذي يَفْضُلُ الفِتْيَانَ نَائِلُهُ، يَدَاهُمِثْلُ خَليجَيْ دِجلةَ الجارِي,تشبيه,تشبيه
3675,5,عمر بن أبي ربيعة,قصيدة رقم 386، الكامل، نُهُ,مثلُ الّذي أبصرْتُ يوم لقيْتُها عَيَّ الخطيب به وكلّ لسانُهُ,تشبيه,تشبيه
3676,92,الكميت بن زيد الأسدي,قصيدة هاشمية رقم 2، طويل، بُ,مَحاسِنُ من دُنيا ودِيْنٍكأنَّما بِها حَلّقت بالأمْسِ عَنْقاءُ مُغْرِبُ,تشبيه,تشبيه
3677,6,عمر بن أبي ربيعة,قصيدة رقم 15، الخفيف، بِ,آنساتٍ عقائلٍكالظباءِ الربائبِ,تشبيه,تشبيه
3678,81,الكميت بن زيد الأسدي,قصيدة هاشمية رقم 2، طويل، بُ,إذا ما المَراضِيْعُ الخِماصُ تأوّهَتْ من البَرْدِ إذْمِثْلانِ سَعْدٌ وعَقْرَبُ,تشبيه,تشبيه
3679,76,الكميت بن زيد الأسدي,قصيدة هاشمية رقم 2، طويل، بُ,كأنِّي جانٍ مُحْدِثٌ وكأنَّما بِهِم يُتَّقَى من خَشْيَةِ العُرّ أَجْرَبُ,تشبيه,تشبيه
3680,9,الأخطل,قصيدة رقم 50، رِ، الطّويل,وَلَم يَبقَ إِلّا كُلُّ أَدماءَ عِرمِسٍتُشَبَّهُ بِالقَرمِ المُخايِلِ في الخَطرِ,تشبيه,تشبيه
3681,8,الأخطل,قصيدة رقم 50، رِ، الطّويل,إِذا ما جَرى آلُ الضُحى وَتَغَوَّلَتكَأَنَّ مُلاءً بَينَ أَعلامِها الغُبرِ,تشبيه,تشبيه
3682,3,كثيّر بن عبد الرحمن الخزاعي,قصيدة رقم 210، منتهى الطلب، وافر، جُ,رأيتُ جِمالَها تَعلُو الثَّناياكأنَّ ذُرَى هَوادِجِها البُرُوجُ,تشبيه,تشبيه
3683,13,الفرزدق,قصيدة رقم 385، الطَّويل، لُهَا,فَخَرَّت وَأَلقَتهُم إِلَيناكَأَنَّها نَعامَةُ مَحلٍ جانَبَتها رِئالُها,تشبيه,تشبيه
3684,12,عمر بن أبي ربيعة,قصيدة رقم 357، مجزوء الرمل، ما,برزتْ بينَ ثلاثٍكالمها تقرو الصّريما,تشبيه,تشبيه
3685,44,نقائض جرير والفرزدق,الفرزدق، نقيضة رقم 66، الطَّويل، عُ,تَخِقُّ الكُلَيْبِيّاتُ تَحْتَ رِجالِهِمْكَما نَقَّ في جَوْفِ الصَّراةِ الضَّفادِعُ,تشبيه,تشبيه
3686,47,نقائض جرير والفرزدق,الفرزدق، نقيضة رقم 66، الطَّويل، عُ,كَأَنَّ كُلَيْبًا حينَ تَشْهَدُ مَحْفِلًا حُلاقَةُ إِسْبٍ جَمَّعَتْها الأًَصابِعُ,تشبيه,تشبيه
3687,7,حارثة بن بدر الغُدَانِي,قصيدة رقم 19، البسيط، ر,الناس بعدك قد خَفّتْ حلومُهمكأنما نَفَخَتْ فيها الأعاصير,تشبيه,تشبيه
3688,22,الفرزدق,قصيدة رقم 385، الطَّويل، لُهَا,كَأنّ نَعَامَاتٍ يُنَتِّفْنَ خُضْرَةً، بِصَحْرَاءَ مِمْرَاحٍ، كَثيرٌ مَجالُها,تشبيه,تشبيه
3689,24,الفرزدق,قصيدة رقم 385، الطَّويل، لُهَا,كَأنّ أخَا الهَمّ الّذي قَدْ أصَابَهُ، بهِ مِنْ عَقابيلِ القَطِيفِ مُلالُها,تشبيه,تشبيه
3690,12,الأخطل,قصيدة رقم 320، منتهى الطلب، طويل، رِ,يُدافِعُ أجْوازَ الفَلاةِ ويَنْبَرِي لَهامِثْلُ أنْضاءِ القِداحِ مِنَ السِّدْرِ,تشبيه,تشبيه
3691,16,الأخطل,قصيدة رقم 320، منتهى الطلب، طويل، رِ,إذا نَحنُ هايَجْنا بِهِ يَومَ مَحْفَلٍ رَمَى النَّاسُ بالأبْصارِ أبيَضَكالبَدْرِ,تشبيه,تشبيه
3692,17,الأخطل,قصيدة رقم 320، منتهى الطلب، طويل، رِ,أصِيلٍ إذا اصْطَكَّ الجِباهُكأنَّما يَهُزُّ الثِّقالَ الرّاسِياتِ مِنَ الصَّخْرِ,تشبيه,تشبيه
3693,39,نقائض جرير والفرزدق,الفرزدق، نقيضة رقم 66، الطَّويل، عُ,بَكَينَ إِلَيْكُمْ والرِّماحُكَأَنَّها مَعَ القَوْمِ أَشطانُ الجَرورِ النَّوازِعُ,تشبيه,تشبيه
3694,12,كُثير عزة,قصيدة رقم 52، الطويل، رُها,ومرَّت على التّقوى بهِنَّكأنّما سفائِنُ بحرٍ طابَ فيها مَسيرُها,تشبيه,تشبيه
3695,22,الأخطل,قصيدة رقم 320، منتهى الطلب، طويل، رِ,تَرَى مُتْرَعَ الشِّيزَى الثِّقالِكأنَّما تَحضَّر منها أهْلُها فُرَضَ البَحْرِ,تشبيه,تشبيه
3696,6,كُثير عزة,قصيدة رقم 91، الكامل، دا,لو يسمعونكما سمعْتُ كلامها خرُّوا لعزّةَ رُكَّعًا وسُجودا,تشبيه,تشبيه
3697,12,الفرزدق,قصيدة رقم 275، الوافر، رِ,كَأَنّ مَوَاقِعَ الآثَارِ مِنْهَا مَوَاقِعُ مِنْ صَوَارِمَ ذاتِ أُثْرِ,تشبيه,تشبيه
3698,21,كُثير عزة,قصيدة رقم 52، الطويل، رُها,وعَنَّ لنا بالجزع فوقَ فراقد أيادي سباكالسَّحْل بيضًا سفورها,تشبيه,تشبيه
3699,24,نقائض جرير والفرزدق,الفرزدق، نقيضة رقم 66، الطَّويل، عُ,هَوَى الخَطَفَى لَمّا اخْتَطَفْتُ دِماغَهُكَما اخْتَطَفَ البازِي الخَشاشَ المُقارِعُ,تشبيه,تشبيه
3700,29,نقائض جرير والفرزدق,الفرزدق، نقيضة رقم 66، الطَّويل، عُ,تَزَيَّدَ يَرْبوعٌ بِهِمْ في عِدادِهِمْكَما زِيدَ في عَرْضِ الأَديمِ الأَكارِعُ,تشبيه,تشبيه
3701,7,نقائض جرير والفرزدق,جرير، نقيضة رقم 95، الكامل، انِ,شَغَفَ القُلوبَ وما تُقَضَّى حاجَةٌمِثْلُ المَها بِصَريمَةِ الحَوْمانِ,تشبيه,تشبيه
3702,11,نقائض جرير والفرزدق,الفرزدق، نقيضة رقم 66، الطَّويل، عُ,فيا عَجَبَى حَتَّى كُلَيْبٌ تَسُبُّنيكَأَنَّ أَباها نَهْشَلٌ أَوْ مُجاشِعُ,تشبيه,تشبيه
3703,10,كُثير عزة,قصيدة رقم 67، الطويل، عِ,ومطْرَح أثْناءِ الزّمامِكأَنّهُ مزاحِفُ أيْمٍ بالفِناء صَريعِ,تشبيه,تشبيه
3704,9,جرير بن عطيّة,قصيدة رقم 190، جرير، الوافر، بَا,كما طرد النهارُ سواد ليل فأَزْمَعَ حين حل به الذهابا,تشبيه,تشبيه
3705,7,جرير بن عطيّة,قصيدة رقم 190، جرير، الوافر، بَا,لذكرك حين فوزت المطايا على شرَكتخال به سبابا,تشبيه,تشبيه
3706,1,الطرماح بن حكيم,قصيدة رقم 10، بسيط، دُوا,أُخْبِرْتُ ضَبَّةَ تَهْجُوني لِأَهجُوهَا، ولَوْ حُدُواكَحُداءِ القَيْن ما عَادُوا,تشبيه,تشبيه
3707,61,الفرزدق,قصيدة رقم 385، الطَّويل، لُهَا,وَأنْتُمْ لِهَذا الدِّينِكَالقِبْلَةِ التي بها إنْ يَضِلَّ النّاسُ يَهدي ضَلالُها,تشبيه,تشبيه
3708,60,الفرزدق,قصيدة رقم 385، الطَّويل، لُهَا,وَجَدْنا بَني مَرْوانَ أوْتَادَ دِينِنَا،كما الأرْضُ أوْتادٌ عَلَيها جِبَالُها,تشبيه,تشبيه
3709,13,جرير بن عطيّة,قصيدة رقم 273، جرير، الوافر، مَا,كأَني إِن أمامة حَلَّأَتْنِي أَرى الأَشْرَاب آجِنَةً سِداما,تشبيه,تشبيه
3710,10,الفرزدق,قصيدة رقم 289، منتهى الطلب، وافر، ابِ,فإنَّ الأرْضَ تَعْجَزُ عَنْ تَمِيمٍ وهُمْمِثْلَ المعَبَّدَةِ الجِرابِ,تشبيه,تشبيه
3711,4,عمر بن أبي ربيعة,قصيدة رقم 385، الكامل، نْ,فكأنّ قلبك يومَ جئتَ مُوَدِّعًا بدلالِهنّ وربّما أضناني,تشبيه,تشبيه
3712,2,عمر بن أبي ربيعة,قصيدة رقم 385، الكامل، نْ,بيضٍ أوانسَ قدْ أصبْنَ مقاتلييشبهْنَ تُلْعَ شوادنِ الغزلانِ,تشبيه,تشبيه
3713,57,جرير بن عطيّة,قصيدة رقم 273، جرير، الوافر، مَا,بجُردكالقِداح مُسَوَّمَات بأَيدينا يعارضن السَّماما,تشبيه,تشبيه
3714,1,الكميت بن زيد الأسدي,قصيدة رقم 42، طويل، بُ,كَأَنَّ حَصَى المِعْزاءِ بَيْنَ فُرُوجِها نَوَى الرَّضْخِ يَلْقَى المُصْعِدُ المُتَصَوِّبُ,تشبيه,تشبيه
3715,5,عمر بن أبي ربيعة,قصيدة رقم 385، الكامل، نْ,وكلفْتُ منهنّ الغذاةَ بغادةٍ مجدولةٍ جُدِلَتْكجدْلِ عِنانِ,تشبيه,تشبيه
