tashbeeh_word,poem,poem_without_tashbeeh
لِمِثْلِهِ,أعْجِبْ بأخْذِكَهُ وأعْجَبُ مِنكُما أنْ لا تَكُونَ لِمِثْلِهِ أَخَّاذَا!,أعْجِبْ بأخْذِكَهُ وأعْجَبُ مِنكُما أنْ لا تَكُونَ  أَخَّاذَا!
لِمِثْلِهِ,وَكَرْرْتُمُ كَرَّ المُحَافِظِ إِنَّما يَسْعى الحَليمُ لِمِثْلِهِ أَحْيانا,وَكَرْرْتُمُ كَرَّ المُحَافِظِ إِنَّما يَسْعى الحَليمُ  أَحْيانا
لِمِثْلِهِمْ,كَيْفَ لَمْ يَقْبَلُوا الأَمَانَ وقد كا نت حَيَاةٌ لِمِثْلِهِمْ في الأَمَانِ!,كَيْفَ لَمْ يَقْبَلُوا الأَمَانَ وقد كا نت حَيَاةٌ  في الأَمَانِ!
لِمِثْلِي,أََنَاهِيَتِي؛ بُخْلًا لِمِثْلِي عَلَى آلرَّدَى، أَجَلْ فَكَأَنِّي، إِنْ أَطَعْتُكَ، زَائِلُ,أََنَاهِيَتِي؛ بُخْلًا  عَلَى آلرَّدَى، أَجَلْ فَكَأَنِّي، إِنْ أَطَعْتُكَ، زَائِلُ
لِمِثْلِي,هَوَيْتُ حَبِيبًا لَسْتُ أَهْلًا لِحُبِّهِ وَأَنَّى لِمِثْلِي أنْ يَكونَ مُحِبَّهُ,هَوَيْتُ حَبِيبًا لَسْتُ أَهْلًا لِحُبِّهِ وَأَنَّى  أنْ يَكونَ مُحِبَّهُ
لِمِثْلِي,وجُلُوسِي عن التَّصَرُّفِ، والأَرْ ضُ لِمِثْلِي رَحِيبةُ الأَكْنَافِ,وجُلُوسِي عن التَّصَرُّفِ، والأَرْ ضُ  رَحِيبةُ الأَكْنَافِ
لِمِثْلِي,حَاشَا وَكَلَّا لِمِثْلِي يَا صَدِيقِي أَنْ يَنْسَى الْغَنِيَّ وَيَسْتَجْدِي الْغَنِيّ بِهِ,حَاشَا وَكَلَّا  يَا صَدِيقِي أَنْ يَنْسَى الْغَنِيَّ وَيَسْتَجْدِي الْغَنِيّ بِهِ
لِمِثْلِيَ,وَقَابَلْتُ بالشُّكْرِ مِنْهَا الصَّنِيعَ وَحَاشَا لِمِثْلِيَ أَنْ يُثْقِلَا,وَقَابَلْتُ بالشُّكْرِ مِنْهَا الصَّنِيعَ وَحَاشَا  أَنْ يُثْقِلَا
لِمِثْلِيَ,لقاؤُكَ ما فيه لِمِثْلِيَ خِيرَةٌ ولا لكَ فانْظُر أينَ يُلتَمس الشَّبْرُ,لقاؤُكَ ما فيه  خِيرَةٌ ولا لكَ فانْظُر أينَ يُلتَمس الشَّبْرُ
لِمِثْلِيَ,أَنَّى لِمِثْلِيَ بِالْهَوَى مِنْ بَعْدِ مَا لِلْوَخْطِ فِي الْفَوْدَيْنِ أَيُّ دَبِيبِ,أَنَّى  بِالْهَوَى مِنْ بَعْدِ مَا لِلْوَخْطِ فِي الْفَوْدَيْنِ أَيُّ دَبِيبِ
متمثِّلًا,وكم قائلٍ قد قال لي متمثِّلًا ليوهِنَ مني أو يشدَّ قوى متني:,وكم قائلٍ قد قال لي  ليوهِنَ مني أو يشدَّ قوى متني:
مثل,رأَيتَه كالفارس المُعَدِّ يخطِر تِيهًا مثل خَطْرِ الأُسْدِ,رأَيتَه كالفارس المُعَدِّ يخطِر تِيهًا  خَطْرِ الأُسْدِ
مثل,بيناهُ كالأجدل الغِطريف ماطلَهُ عصراهُ فارتد مثل الفرخ ذي الزَّغب,بيناهُ كالأجدل الغِطريف ماطلَهُ عصراهُ فارتد  الفرخ ذي الزَّغب
مثل,رأيت سعودًا، من شعوبٍ، كثيرةٍ فلم أرَ سعدًا، مثل سعد بن مالكِ,رأيت سعودًا، من شعوبٍ، كثيرةٍ فلم أرَ سعدًا،  سعد بن مالكِ
مثل,لحاظك أسياف ذكور فما لها كما زعموا مثل الأرامل تغزل,لحاظك أسياف ذكور فما لها كما زعموا  الأرامل تغزل
مثل,نظرتُ كما حلَّت عقابٌ على أُرَمْ وإنّي لفردٌ مثل ما انفرد الزّلمْ,نظرتُ كما حلَّت عقابٌ على أُرَمْ وإنّي لفردٌ  ما انفرد الزّلمْ
مثل,فطلعْتَ كالسيف الحسام مجردا للحق أو مثل الهلال مجددا,فطلعْتَ كالسيف الحسام مجردا للحق أو  الهلال مجددا
مثل,ألا إنما الدنيا كجيفةِ مَيْتةٍ وطُلَّابها مثل الكلابِ النواهِس,ألا إنما الدنيا كجيفةِ مَيْتةٍ وطُلَّابها  الكلابِ النواهِس
مثل,ومنعَّم كالماءِ يشفي ذا الصدى كشفائه، ويشفُّ مثل شفيفه,ومنعَّم كالماءِ يشفي ذا الصدى كشفائه، ويشفُّ  شفيفه
مثل,فمرّ سِرْبٌ كالحِقاب القُودِ مثل الحِسانِ الخُرَّدِ النَّهودِ,فمرّ سِرْبٌ كالحِقاب القُودِ  الحِسانِ الخُرَّدِ النَّهودِ
مثل,وأقبل تحت الشَّعر كالبدر في الدجى على مثل غصن البانة المتأوّد,وأقبل تحت الشَّعر كالبدر في الدجى على  غصن البانة المتأوّد
مثلا,ثم استمرت فصارتْ في البلاد له كأنها أرسلتْ من دبرهِ مثلا,ثم استمرت فصارتْ في البلاد له كأنها أرسلتْ من دبرهِ 
مثلا:,شبهتكم إن بغى باغ لكم مثلا: صُغْرى الأصابع تُثْني أوَّلَ العدد,شبهتكم إن بغى باغ لكم  صُغْرى الأصابع تُثْني أوَّلَ العدد
مثلاً,مثلاً ما ضَرْبتُه لك فاسمع وتَثَبَّتْ، جُزيتَ خيرَ الجزاء!, ما ضَرْبتُه لك فاسمع وتَثَبَّتْ، جُزيتَ خيرَ الجزاء!
مثلما,عَكَسَتْ خَدَّهُ الطِّلا فاستنارَتْ مثلما تعكسُُ الشموس المِرَاةُُ,عَكَسَتْ خَدَّهُ الطِّلا فاستنارَتْ  تعكسُُ الشموس المِرَاةُُ
مثلما,عَزمةٌ أقبلت تقودُ سُلوًّا مثلما قادَتِ الصَّبابةَ نَظْرَهْ,عَزمةٌ أقبلت تقودُ سُلوًّا  قادَتِ الصَّبابةَ نَظْرَهْ
مثلما,هوى بين عصف الريح والموج مثلما هوى بين أضلاع المعنى به قلب,هوى بين عصف الريح والموج  هوى بين أضلاع المعنى به قلب
مثلما,هان ذاك الرُّزءُ فيها مثلما هانَ ما غرَّك من مَطْلَبِها,هان ذاك الرُّزءُ فيها  هانَ ما غرَّك من مَطْلَبِها
مثلما,ولكنْ مُنِعتُ الأَسا مثلما حُرمتُ اللُّهى من يديك الرِّغابا,ولكنْ مُنِعتُ الأَسا  حُرمتُ اللُّهى من يديك الرِّغابا
مثلما,أو مثلما قالت الثكلى لواحدها: لو مات آخر هذا الجيش لم ألم,أو  قالت الثكلى لواحدها: لو مات آخر هذا الجيش لم ألم
مثلما,وبحبّك اشتغلت حواسي مثلما بجمالك امتلأت جميع جهاتي,وبحبّك اشتغلت حواسي  بجمالك امتلأت جميع جهاتي
مثلما,حجب البيت منك شخصًا كريمًا مثلما تحجبُ الدنانُ السلافا,حجب البيت منك شخصًا كريمًا  تحجبُ الدنانُ السلافا
مثلما,مثلما تُكْسَرُ للغمـ ـزِ عيونٌ رُمْنَ غمزا, تُكْسَرُ للغمـ ـزِ عيونٌ رُمْنَ غمزا
مثلما,مهيئًا فاه لها مثلما هيأ إذ قبلني فاه,مهيئًا فاه لها  هيأ إذ قبلني فاه
مثلنا,لم أَرَ كالحيّ الذين تحمَّلوا ولا مثلنا عن مثلهم يتنكَّفُ,لم أَرَ كالحيّ الذين تحمَّلوا ولا  عن مثلهم يتنكَّفُ
مثله,كأنه قمرٌ، ما مثله بشرٌ في طرفه حورٌ، يرنو فيجرحني,كأنه قمرٌ، ما  بشرٌ في طرفه حورٌ، يرنو فيجرحني
مثله,وخالٍ كخال البدر في وجه مثله لقينا المُنى فيه فحاجَزَنا البذلُ,وخالٍ كخال البدر في وجه  لقينا المُنى فيه فحاجَزَنا البذلُ
مثلها،,فقل للذي يبقى، خلاف الذي مضى تجهز، لأخرى مثلها، فكأن قد,فقل للذي يبقى، خلاف الذي مضى تجهز، لأخرى  فكأن قد
مثلهِ,أداةُ المنيةِ في جانبَيْه فمن مثلهِ رهبة الراهبِ,أداةُ المنيةِ في جانبَيْه فمن  رهبة الراهبِ
مثلهِ,نَفَسٌ بعْدَ مثلهِ يتقضَّى فتمرُّ الدُّهُورُ والأحْيانُ,نَفَسٌ بعْدَ  يتقضَّى فتمرُّ الدُّهُورُ والأحْيانُ
مثلهِ,بدا على خدّهِ عذارٌ في مثلهِ يُعذَرُ الكئيبُ,بدا على خدّهِ عذارٌ في  يُعذَرُ الكئيبُ
مثلهِ,أبو حسنٍ وأبو مثلهِ كَنِيَّا أبي حسنٍ ثالث,أبو حسنٍ وأبو  كَنِيَّا أبي حسنٍ ثالث
مثلهِ,فلو أنّني شبهتهُ البحرَ زاخرًا خشيتُ بكونِ المدحِ في مثلهِ قذفا,فلو أنّني شبهتهُ البحرَ زاخرًا خشيتُ بكونِ المدحِ في  قذفا
مثلهِ,وأُيِّدَ بابنٍ مثلهِ في غَنائه إذا كَثُرت من رَيبِ دهر كوارثه,وأُيِّدَ بابنٍ  في غَنائه إذا كَثُرت من رَيبِ دهر كوارثه
مثلوب,وسائلٍ ليَ عنه قلت: مختلقٌ لكنه بهناتٍ فيه مثلوب,وسائلٍ ليَ عنه قلت: مختلقٌ لكنه بهناتٍ فيه 
مثلوبِ,لا يستقرّ بوجه غير مبتذل ولا يسير بعرض غير مثلوبِ,لا يستقرّ بوجه غير مبتذل ولا يسير بعرض غير 
مثلومِ,ما كلُّ مثلومِ الكلامِ بساقطٍ قد يُقتنَى سيفٌ وفيه تفلُّل,ما كلُّ  الكلامِ بساقطٍ قد يُقتنَى سيفٌ وفيه تفلُّل
مثلي,أَلمْ تَرَ كالنعامةِ يَدَّريني ولم يَكُ يَدَّري مثلي الحليمُ,أَلمْ تَرَ كالنعامةِ يَدَّريني ولم يَكُ يَدَّري  الحليمُ
مثلي,فاحتَسِب فيه تركَ إزعاج مثلي بعض أعمالِ بِرك المعموله,فاحتَسِب فيه تركَ إزعاج  بعض أعمالِ بِرك المعموله
مثلي,أَقبلتَ تحسبُ أَنّ العذلَ ينفعُني وقد ترى عذلَ مثلي قلَّ ما نفعا,أَقبلتَ تحسبُ أَنّ العذلَ ينفعُني وقد ترى عذلَ  قلَّ ما نفعا
مثلي،,تاللّه ما سَمِع الأنامُ بِطَالِبٍ مثلي، ولا رَأَوُا امْرَأ مِثْلِي اطُّرِحْ,تاللّه ما سَمِع الأنامُ بِطَالِبٍ  ولا رَأَوُا امْرَأ مِثْلِي اطُّرِحْ
مثليْهما,ألا فاهربوا من طالبٍ وابن طالب فمِن طالبٍ مثليْهما طارَ هارب,ألا فاهربوا من طالبٍ وابن طالب فمِن طالبٍ  طارَ هارب
مثلًا,مَنْ له فتكةٌ مَضَتْ مثلًا في ما مضى مثلَ فتكةِ البرَّاضِ؟,مَنْ له فتكةٌ مَضَتْ  في ما مضى مثلَ فتكةِ البرَّاضِ؟
مثلًا,فَمهما يَعْتَرِضْ مِنها يَجدْ مثلًا وكالمَثَلِ,فَمهما يَعْتَرِضْ مِنها يَجدْ  وكالمَثَلِ
مثلًا,من بعد ما ضربت بها مثلًا قحطانُ واستحيت لها مضرُ,من بعد ما ضربت بها  قحطانُ واستحيت لها مضرُ
مثلًا,فقلتُ إنْ لم أكنْ في حبِّكم مثلًا كما أمرْتُم فإنِّي صاحبُ المَثَلِ,فقلتُ إنْ لم أكنْ في حبِّكم  كما أمرْتُم فإنِّي صاحبُ المَثَلِ
مثلًا,أتَتْ من بريديِّنا ضرطةٌ فأرسلها مثلًا سائرا,أتَتْ من بريديِّنا ضرطةٌ فأرسلها  سائرا
مثلًا,ضربت، لما استقلت، مثلًا قاله القوال، عن غير وهم,ضربت، لما استقلت،  قاله القوال، عن غير وهم
مثلًا,سادت وسارت بها الأفواه معلنة فقد غدت مثلًا يغدو بها المثل,سادت وسارت بها الأفواه معلنة فقد غدت  يغدو بها المثل
مثلٍ,فابْقَ حتى ترى لشهرِك هذا ألفَ مثلٍ بمثله مَشْفوع,فابْقَ حتى ترى لشهرِك هذا ألفَ  بمثله مَشْفوع
مثلٍ,ونحن على مثلٍ لأسماء لم نَجُزْ إليها، ولم نقطعْ قديمَ خلالها,ونحن على  لأسماء لم نَجُزْ إليها، ولم نقطعْ قديمَ خلالها
مثلٍ,فأنت سيَّرتَ ما في الجود من مثلٍ باقٍ ومن أثرٍ في النّاسِ محمودِ,فأنت سيَّرتَ ما في الجود من  باقٍ ومن أثرٍ في النّاسِ محمودِ
مثلَ,أَمًّا بكلِّ كَوكَبٍ حَريدِ مثلَ ادِّراعِ اليَلْمَقِ الجَديدِ,أَمًّا بكلِّ كَوكَبٍ حَريدِ  ادِّراعِ اليَلْمَقِ الجَديدِ
مثلَ,تخال منهنّ شَبا الأُظْفورِ مثلَ سِنان الحَرْبةِ المطرورِ,تخال منهنّ شَبا الأُظْفورِ  سِنان الحَرْبةِ المطرورِ
مثلَ,القلبُ كالماءِ والأهواءُ طافيةٌ عليه مثلَ حَبابِ الماءِ في الماءِ,القلبُ كالماءِ والأهواءُ طافيةٌ عليه  حَبابِ الماءِ في الماءِ
مثلَ,أشْبَهْتَ من فخرٍ أبًا بذَّ الورى فخرًا فَمَنْ ذا مثلَ فَخْرِكَ يَفْخرُ,أشْبَهْتَ من فخرٍ أبًا بذَّ الورى فخرًا فَمَنْ ذا  فَخْرِكَ يَفْخرُ
مثلَ,يا رامِيًا قَلبي بأسْهُمِ لحظِهِ أحَسِبتَ قَلبي مثلَ قلبكَ جَلمَدَا,يا رامِيًا قَلبي بأسْهُمِ لحظِهِ أحَسِبتَ قَلبي  قلبكَ جَلمَدَا
مثلَ,وشادنٍ كالعَروس مرّ بنا يميل مثلَ القَضيب سَكْرانا,وشادنٍ كالعَروس مرّ بنا يميل  القَضيب سَكْرانا
مثلَ,خَليلَيّ وَجدي كالّذي قد علمتُما فهَلْ مثلَ وَجدي أنتُما تجدانِ,خَليلَيّ وَجدي كالّذي قد علمتُما فهَلْ  وَجدي أنتُما تجدانِ
مثلَ,ورُمحي العنبريُّ تَخالُ فيه سِنانًا مثلَ مِقباسِ الزِّنادِ,ورُمحي العنبريُّ تَخالُ فيه سِنانًا  مِقباسِ الزِّنادِ
مثلَ,جَعَلَتْ رأسَها كرأسِ المنارهْ قَصْعةً مثلَ قَصْعَةِ الفوَّارهْ,جَعَلَتْ رأسَها كرأسِ المنارهْ قَصْعةً  قَصْعَةِ الفوَّارهْ
مثلَ,أَأُصْبِحُ في الدنيا كما هو عالِمٌ وأَدْخُلُ نارا مثلَ قيصرَ أو كسرى؟,أَأُصْبِحُ في الدنيا كما هو عالِمٌ وأَدْخُلُ نارا  قيصرَ أو كسرى؟
مثلَما,وَرَمَيْتُ أَعْوامي ورائيَ مثلَما رَمَتِ المَطِيُّ مهامِهِ السُّفارِ,وَرَمَيْتُ أَعْوامي ورائيَ  رَمَتِ المَطِيُّ مهامِهِ السُّفارِ
مثلَما,يَقبلُ اللَّومَ مِسْمَعي مثلَما يَنْـ ـبُتُ من هاطلِ السَّحائِب صَخْرُ,يَقبلُ اللَّومَ مِسْمَعي  يَنْـ ـبُتُ من هاطلِ السَّحائِب صَخْرُ
مثلَما,فتًى مثلَما يختارُهُ المُلْكُ ماجِدٌ وَمَرْعًى كما يختارُهُ الفالُ سَعدانُ,فتًى  يختارُهُ المُلْكُ ماجِدٌ وَمَرْعًى كما يختارُهُ الفالُ سَعدانُ
مثلَما,سَمِعْتُ حَديثًا لَيْتَني لوْ حَضَرْتُهُ فتَسْعَدَ عَيني مثلَما سعدتْ أُذْني,سَمِعْتُ حَديثًا لَيْتَني لوْ حَضَرْتُهُ فتَسْعَدَ عَيني  سعدتْ أُذْني
مثلَما,فاهْتَزَّ جِسْمُكَ مثلَما يَهْتَزُّ ماضي الحدِّ باتِرْ,فاهْتَزَّ جِسْمُكَ  يَهْتَزُّ ماضي الحدِّ باتِرْ
مثلَما,أقول للسُّقْم: كم ذا قد لهِجتَ به! فقال لي: مثلَما تهواه أهواهُ,أقول للسُّقْم: كم ذا قد لهِجتَ به! فقال لي:  تهواه أهواهُ
مثلَما,حلفوا لقد قطعوا ببينِهِمِ وحلفْتُ أَلْفًا مثلَما حلفوا,حلفوا لقد قطعوا ببينِهِمِ وحلفْتُ أَلْفًا  حلفوا
مثلَما,تَفنى وتَبْقَى الأرْضُ بَعدَكَ، مثلَما يَبقَى المُنَاخُ، وَيَرْحلُ الرّكبانُ,تَفنى وتَبْقَى الأرْضُ بَعدَكَ،  يَبقَى المُنَاخُ، وَيَرْحلُ الرّكبانُ
مثلَما,وَحِلمُ امرِىء تَعفُو الذّنوبُ لعَفوِه وَتُمحَى الخَطايا مثلَما مُحيَ الخطّ,وَحِلمُ امرِىء تَعفُو الذّنوبُ لعَفوِه وَتُمحَى الخَطايا  مُحيَ الخطّ
مثلَما,تُطْوَى النّضارةُ باللّيالي مثلَما يُطْوَى بأيدي الصَّائناتِ إزارُ,تُطْوَى النّضارةُ باللّيالي  يُطْوَى بأيدي الصَّائناتِ إزارُ
مثلَها,فمتى جريتَ على طباعك مثلَها فكأن طِرْفك بعدُ من فخّار,فمتى جريتَ على طباعك  فكأن طِرْفك بعدُ من فخّار
مثلَهم,أتحسبُ أولادُ اللّقيطةِ أنّنا على الخَيْلِ لَسْنا مثلَهم في الفوارسِ,أتحسبُ أولادُ اللّقيطةِ أنّنا على الخَيْلِ لَسْنا  في الفوارسِ
مثلَيْنا,فلم أرَ مثلَيْنا خليليْ محبَّة لكلّ لسان ذو غرارين مرهفُ,فلم أرَ  خليليْ محبَّة لكلّ لسان ذو غرارين مرهفُ
مثلَيْهما,عيدانِ: أضحى ومهرجانُ ما ضم مثلَيْهما أوانُ,عيدانِ: أضحى ومهرجانُ ما ضم  أوانُ
مثلُ,أنت في الناس مثلُ ذا الشهر في الاشهر بل مثل ليلة القدر فيه,أنت في الناس  ذا الشهر في الاشهر بل مثل ليلة القدر فيه
مثلُ,فوجدي بسلمى مثلُ وَجْدِ مُرَقِّشٍ بأسْماءَ إذ لا تَستفيقُ عَواذِله,فوجدي بسلمى  وَجْدِ مُرَقِّشٍ بأسْماءَ إذ لا تَستفيقُ عَواذِله
مثلُ,مثلُ القريبِ عندَها ما قد بَعُد, القريبِ عندَها ما قد بَعُد
مثلُ,تعودُ عليَّ كرَّاتُ اللّيالي وما أبرمتُهُ مثلُ السَّحيلِ,تعودُ عليَّ كرَّاتُ اللّيالي وما أبرمتُهُ  السَّحيلِ
مثلُ,تُنْسِيهُمُ العارِفَةَ الهِيفَ كالْـ أغْصانِ والأعجازُ مثلُ الكُتبْ,تُنْسِيهُمُ العارِفَةَ الهِيفَ كالْـ أغْصانِ والأعجازُ  الكُتبْ
مثلُ,فما مثلُ يحيى منْ أخٍ لكَ شافعٍ ولا كبنيهِ من جحاجحة ٍ زهرِ,فما  يحيى منْ أخٍ لكَ شافعٍ ولا كبنيهِ من جحاجحة ٍ زهرِ
مثلُ,فإذا ثلاثٌ بينَهنَّ عقيلةٌ مثلُ الغمامةِ نشرُها يتضوَّعُ,فإذا ثلاثٌ بينَهنَّ عقيلةٌ  الغمامةِ نشرُها يتضوَّعُ
مثلُ,إنَّ أذاها مثلُ أفعالِنا ماضٍ وفي الحالِ ومستقبَلُ,إنَّ أذاها  أفعالِنا ماضٍ وفي الحالِ ومستقبَلُ
مثلُ,غَزالٌ مثلُ قَرْنِ الشَّمْسِ حُسْنًا إذا طلعتْ وقابلها السُّعودُ,غَزالٌ  قَرْنِ الشَّمْسِ حُسْنًا إذا طلعتْ وقابلها السُّعودُ
مثلُ,تخيَّر فإما وَحْدةٌ مثلُ ميتةٍ وإما جليسٌ في الحياةِ منافقُ,تخيَّر فإما وَحْدةٌ  ميتةٍ وإما جليسٌ في الحياةِ منافقُ
مثلُك,أيا والِيَ المِصْرِ لا تَظْلِمَنْ فكمْ جاءَ مثلُك ثَمَّ انْصَرَفْ,أيا والِيَ المِصْرِ لا تَظْلِمَنْ فكمْ جاءَ  ثَمَّ انْصَرَفْ
مثلُك,وما كان مثلُك في شأَنهِ ليُحْجَب عن سِرِّ نفسِي المَصون,وما كان  في شأَنهِ ليُحْجَب عن سِرِّ نفسِي المَصون
مثلُك,ملكتَ فأَسْجِح -يا أبا الصقر- إنه إذا ملك الأحرارَ مثلُك أَسْجحا,ملكتَ فأَسْجِح -يا أبا الصقر- إنه إذا ملك الأحرارَ  أَسْجحا
مثلُك,وليس مثلُك بالمخذولِ آمِلُه إذا أطاع جميلَ الفعلِ إمكان,وليس  بالمخذولِ آمِلُه إذا أطاع جميلَ الفعلِ إمكان
مثلُك,فتلك من آرائه شُبهة ٌ مثلُك من أمثالها يَسْلم,فتلك من آرائه شُبهة ٌ  من أمثالها يَسْلم
مثلُك,مثلُك لا يعشَق مثلي وقد هام به بَيْضاءُ رُعْبُوبُ, لا يعشَق مثلي وقد هام به بَيْضاءُ رُعْبُوبُ
مثلُك,لَوْ حَلّ مثلُك من رياح وَسْطَنا جارًا لكان جِواره في مَحْرَم,لَوْ حَلّ  من رياح وَسْطَنا جارًا لكان جِواره في مَحْرَم
مثلُك,لو كان يدري أنّه خارجٌ مثلُك من جُرْدانه لاختصى,لو كان يدري أنّه خارجٌ  من جُرْدانه لاختصى
مثلُك,لا، والذي خصّني منكم بنِعْمته، ما مرّ مثلُك في الدُّنْيا على راسي,لا، والذي خصّني منكم بنِعْمته، ما مرّ  في الدُّنْيا على راسي
مثلُك,بل عزُّ مثلُك لا كفاءَ له بَنَّيت بعد حفوفه ربْعه,بل عزُّ  لا كفاءَ له بَنَّيت بعد حفوفه ربْعه
مثلُكم,لذاك بني العباس، يصبر مثلُكم ويصبر للموت الكميُّ المدجَّجُ,لذاك بني العباس، يصبر  ويصبر للموت الكميُّ المدجَّجُ
مثلُكَ,مثلُكَ في النّاسِ الحَبيبُ الذي يُذكَرُ أوْ يُحمَدُ أوْ يُشكَرُ, في النّاسِ الحَبيبُ الذي يُذكَرُ أوْ يُحمَدُ أوْ يُشكَرُ
مثلُكَ,عَرَفْتَ أمرا فلا تُزْعِجْكَ حادثةٌ ما كان مثلُكَ في أمثالها يقِرُ,عَرَفْتَ أمرا فلا تُزْعِجْكَ حادثةٌ ما كان  في أمثالها يقِرُ
مثلُكَ,من أينَ مثلُكَ لا أراهُ باقِيًا، فيما يَكونُ، ولا أراهُ ماضِيًا,من أينَ  لا أراهُ باقِيًا، فيما يَكونُ، ولا أراهُ ماضِيًا
مثلُكَ,أيُّ دَهرٍ يكونُ مثلُكَ فيهِ يَبْتَني عزْمَهُ على العَيُّوقِ,أيُّ دَهرٍ يكونُ  فيهِ يَبْتَني عزْمَهُ على العَيُّوقِ
مثلُكَ,كَم خطإٍ ستَرْتَهُ وكم خَطَلْ مثلُكَ من يُرْجى إذا الخطبُ نَزَلْ,كَم خطإٍ ستَرْتَهُ وكم خَطَلْ  من يُرْجى إذا الخطبُ نَزَلْ
مثلُكَ,يا أحسَنَ العالَمِينَ خُلْقًا مثلُكَ لا يَرْتضِي بظُلمي,يا أحسَنَ العالَمِينَ خُلْقًا  لا يَرْتضِي بظُلمي
مثلُكَ,مثلُكَ لي وَهَذِهِ حالي وَهَذا خُلُقي, لي وَهَذِهِ حالي وَهَذا خُلُقي
مثلُكَ,مُناهدةٌ إنْ باتَ مثلُكَ طيَّها تَنَفَّسَ مَجْروحَ الحشا، أو تَنَهَّدا,مُناهدةٌ إنْ باتَ  طيَّها تَنَفَّسَ مَجْروحَ الحشا، أو تَنَهَّدا
مثلُكَ,يا كَثيرَ الجَميلِ مثلُكَ مولًى يَشتريني جَميلُهُ وَيَبيعُ,يا كَثيرَ الجَميلِ  مولًى يَشتريني جَميلُهُ وَيَبيعُ
مثلُكَ,ما ليَ فيها ناقَةٌ وَلا جَمَلْ مثلُكَ فيها مَن كفى ومن كَفَلْ,ما ليَ فيها ناقَةٌ وَلا جَمَلْ  فيها مَن كفى ومن كَفَلْ
مثلُكُمْ,ألَمْ تَعْلَمَا يا ابْنيْ رَقَاشٍ بِأنّني إذا اختارَ حَرْبي مثلُكُمْ لا أسالمُهْ,ألَمْ تَعْلَمَا يا ابْنيْ رَقَاشٍ بِأنّني إذا اختارَ حَرْبي  لا أسالمُهْ
مثلُنا,فهلِ الكواكبُ مثلُنا في دينها لا يتَّفقْنَ فهائدٌ أو مُسْلِمُ؟,فهلِ الكواكبُ  في دينها لا يتَّفقْنَ فهائدٌ أو مُسْلِمُ؟
مثلُه,وأغيدَ يَحسُنُ فيه الهَوى كأنَّ الهَوى مثلُه أغيدُ,وأغيدَ يَحسُنُ فيه الهَوى كأنَّ الهَوى  أغيدُ
مثلُه,دَعوْتُكَ لما أنْ بدَتْ ليَ حاجَةٌ وَقلتُ رَئيسٌ مثلُه مَنْ تَفضّلا,دَعوْتُكَ لما أنْ بدَتْ ليَ حاجَةٌ وَقلتُ رَئيسٌ  مَنْ تَفضّلا
مثلُه,ليلي طويلٌ وحُزني مثلُه وَكَذا لَيْلُ المُحِبِّ طَويلُ حيثُما كانا,ليلي طويلٌ وحُزني  وَكَذا لَيْلُ المُحِبِّ طَويلُ حيثُما كانا
مثلُه,طيزٌ رحيبٌ وفمٌ مثلُه مُسْترَقٌّ من وجهِ جَريه,طيزٌ رحيبٌ وفمٌ  مُسْترَقٌّ من وجهِ جَريه
مثلُه,ولم يأتِ ذنبا ترى شخصَه عِيانا، ولا مثلُه مَن يَزل,ولم يأتِ ذنبا ترى شخصَه عِيانا، ولا  مَن يَزل
مثلُه,لأبي الصَّقْرِ دَوْلَةٌ مثلُه في التّخلُّفِ,لأبي الصَّقْرِ دَوْلَةٌ  في التّخلُّفِ
مثلُه,وما مثلُه يَبقى علينا لأنه لنا من هدايا الدهر ذي الغدر والختر,وما  يَبقى علينا لأنه لنا من هدايا الدهر ذي الغدر والختر
مثلُه,مقالةُ وغْدٍ، مثلُه قال مثلَها وما زال قَوالا خلاف مقالكا,مقالةُ وغْدٍ،  قال مثلَها وما زال قَوالا خلاف مقالكا
مثلُه,أَقاسمُ: دع قَدْرِي وما يستحقه وقَدرُك فارفعْه، فما مثلُه قَدر,أَقاسمُ: دع قَدْرِي وما يستحقه وقَدرُك فارفعْه، فما  قَدر
مثلُه,يذكِّرني زمانا، لوصَفا لي خليلٌ مثلُه فيه كَفاني,يذكِّرني زمانا، لوصَفا لي خليلٌ  فيه كَفاني
مثلُها,فإنّها جِنَانُ مَا مثلُها مكانُ,فإنّها جِنَانُ مَا  مكانُ
مثلُها,تلك التي شيَّعتها من خلائِقِها إلى البِلى شِيَعٌ ما مثلُها شِيَعُ,تلك التي شيَّعتها من خلائِقِها إلى البِلى شِيَعٌ ما  شِيَعُ
مثلُها,بذل الدنيا بكفٍّ سمحة مثلُها ضُمِّنَ أرزاق العباد,بذل الدنيا بكفٍّ سمحة  ضُمِّنَ أرزاق العباد
مثلُها,وقد كانَ يَشْقى قبلَها مثلُها بهِ إذا ما رَماها كِبْدُها وطِحالُها,وقد كانَ يَشْقى قبلَها  بهِ إذا ما رَماها كِبْدُها وطِحالُها
مثلُها,وخدمةً سبقَتْ أيامَ دولتِه ما مثلُها زُلْفَة إن عُدَّت الزُّلف,وخدمةً سبقَتْ أيامَ دولتِه ما  زُلْفَة إن عُدَّت الزُّلف
مثلُها,وعيونٍ ما مثلُها من عيونٍ آخذاتٍ مختارَ كُلِّ كلام,وعيونٍ ما  من عيونٍ آخذاتٍ مختارَ كُلِّ كلام
